"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Registrations API","Registration Mail","Register for Event delivers confirmation email to Mailpit","0","0","1","0","0"
"Authentication","Login / Create event permissions","Create Event With Admin Token","0","0","1","0","0"
"Registrations API","Registration Kafka","Register for Event publishes Kafka message","0","0","1","0","0"
"Events API","Event Management","Create Event With Invalid Data","0","0","1","0","0"
"Registrations API","Event Registration","Register User for Missing Event","0","0","1","0","0"
"Registrations API","Event Registration","Register User for Event When Full","0","0","1","0","0"
"Events API","Event Management","Create Event With Admin Token","0","0","1","0","0"
"Authentication","Login / Create event permissions","Admin Login","0","0","1","0","0"
"Authentication","Login / Create event permissions","Create Event Without Token","0","0","1","0","0"
"Registrations API","Event Registration","Register User for Event","0","0","1","0","0"
"Registrations API","Event Registration","Register User for Event Duplicate Email","0","0","1","0","0"
"Health","Health Check","","0","0","1","0","0"
"Events API","Event Management","Get Missing Event","0","0","1","0","0"
"Events API","Event Management","Get Event By ID","0","0","1","0","0"
"Authentication","Login / Create event permissions","Create Event With User Token","0","0","1","0","0"
"Registrations API","Event Registration","Register User for Event Without Token","0","0","1","0","0"
