"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","157","tests","test_registration_mail","TestRegistrationMail","","","test_register_sends_confirmation_email",""
"passed","Thu Aug 13 14:59:08 UTC 2026","Thu Aug 13 14:59:08 UTC 2026","29","tests","test_auth","TestAuth","","","test_create_event_with_admin_token_returns_201",""
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","405","tests","test_registration_kafka","TestRegistrationKafka","","","test_register_publishes_registration_created_event",""
"passed","Thu Aug 13 14:59:08 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","31","tests","test_events","TestEvents","","","test_create_event_invalid_returns_400",""
"passed","Thu Aug 13 14:59:10 UTC 2026","Thu Aug 13 14:59:10 UTC 2026","93","tests","test_registrations","TestRegistrations","","","test_register_missing_event_returns_404",""
"passed","Thu Aug 13 14:59:10 UTC 2026","Thu Aug 13 14:59:10 UTC 2026","208","tests","test_registrations","TestRegistrations","","","test_register_when_full_returns_409",""
"passed","Thu Aug 13 14:59:08 UTC 2026","Thu Aug 13 14:59:08 UTC 2026","12","tests","test_events","TestEvents","","","test_create_event_returns_201",""
"passed","Thu Aug 13 14:59:08 UTC 2026","Thu Aug 13 14:59:08 UTC 2026","376","tests","test_auth","TestAuth","","","test_login_admin_returns_token",""
"passed","Thu Aug 13 14:59:08 UTC 2026","Thu Aug 13 14:59:08 UTC 2026","27","tests","test_auth","TestAuth","","","test_create_event_without_token_returns_403",""
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","93","tests","test_registrations","TestRegistrations","","","test_register_returns_201",""
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:10 UTC 2026","116","tests","test_registrations","TestRegistrations","","","test_register_duplicate_email_returns_409",""
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","11","tests","test_health","","","","test_health_is_up",""
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","13","tests","test_events","TestEvents","","","test_get_missing_event_returns_404",""
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","21","tests","test_events","TestEvents","","","test_get_event_by_id",""
"passed","Thu Aug 13 14:59:08 UTC 2026","Thu Aug 13 14:59:08 UTC 2026","140","tests","test_auth","TestAuth","","","test_create_event_with_user_token_returns_403",""
"passed","Thu Aug 13 14:59:09 UTC 2026","Thu Aug 13 14:59:09 UTC 2026","7","tests","test_registrations","TestRegistrations","","","test_register_without_token_returns_401_or_403",""
