"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Admin Panel","Users","Non-admin user cannot list users and receives 403","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Get Event by ID","0","0","1","0","0"
"","","","0","0","5","0","0"
"Event Management","Lifecycle / Bulk Operations","Get Event by Name","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Patch Event","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Delete Event","0","0","1","0","0"
"Event Registration","Register / List Operations","Register for Event with Already Registered Email","0","0","1","0","0"
"Permissions","Delete event/registration","Admin can delete any registration","0","0","1","0","0"
"Event Registration","Register / List Operations","Register for Event when Event is Full","0","0","1","0","0"
"Authentication and Authorization","Login / Create event permissions","Admin Login","0","0","1","0","0"
"Permissions","Delete event/registration","Admin can delete any event","0","0","1","0","0"
"Event Registration","Register / List Operations","Get Registrations for Non-Existent Event","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Create Bulk Events","0","0","1","0","0"
"Authentication and Authorization","Login / Create event permissions","Guest can't create event","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Get Event - Empty Result","0","0","1","0","0"
"Permissions","Delete event/registration","User cannot delete events","0","0","1","0","0"
"Event Registration","Register / List Operations","Get Registrations for Event with No Registrations","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Create Event","0","0","1","0","0"
"Event Registration","Registration Kafka","Register for Event publishes Kafka message","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Get Event by ID - Not Found","0","0","1","0","0"
"Event Registration","Register / List Operations","Get Registrations for Event","0","0","1","0","0"
"Event Registration","Registration Mail","Register for Event sends confirmation email via Kafka listener","0","0","1","0","0"
"Event Registration","Register / List Operations","Register for Event","0","0","1","0","0"
"Authentication and Authorization","Login / Create event permissions","User can't create event","0","0","1","0","0"
"Admin Panel","Users","Admin can list users and their roles, excluding the ADMIN role","0","0","1","0","0"
"Permissions","Delete event/registration","User cannot delete someone else's registration","0","0","1","0","0"
"Event Registration","Register / List Operations","Concurrent Registration Respects Max Seats","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Create Invalid Bulk Events","0","0","1","0","0"
"Permissions","Delete event/registration","User can delete own registration","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Patch Event - Invalid Data","0","0","1","0","0"
"Event Registration","Register / List Operations","Register for Event without Token","0","0","1","0","0"
"Event Registration","Register / List Operations","Search Registrations with Pagination","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Create Duplicated Bulk Events","0","0","1","0","0"
"Authentication and Authorization","Login / Create event permissions","Admin can create event","0","0","1","0","0"
"Admin Panel","Users","Admin can update a user's role to SUPER_USER","0","0","1","0","0"
"Event Management","Lifecycle / Bulk Operations","Search Events with Pagination","0","0","1","0","0"
