"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 14:01:02 UTC 2026","Wed Aug 05 14:01:02 UTC 2026","16","tests","test_events","TestEvents","","","test_create_event_returns_201",""
"passed","Wed Aug 05 14:01:03 UTC 2026","Wed Aug 05 14:01:03 UTC 2026","29","tests","test_events","TestEvents","","","test_get_event_by_id",""
"passed","Wed Aug 05 14:01:04 UTC 2026","Wed Aug 05 14:01:05 UTC 2026","101","tests","test_registrations","TestRegistrations","","","test_register_missing_event_returns_404",""
"passed","Wed Aug 05 14:01:04 UTC 2026","Wed Aug 05 14:01:04 UTC 2026","106","tests","test_registrations","TestRegistrations","","","test_register_returns_201",""
"passed","Wed Aug 05 14:01:02 UTC 2026","Wed Aug 05 14:01:03 UTC 2026","37","tests","test_events","TestEvents","","","test_create_event_invalid_returns_400",""
"passed","Wed Aug 05 14:01:04 UTC 2026","Wed Aug 05 14:01:04 UTC 2026","7","tests","test_registrations","TestRegistrations","","","test_register_without_token_returns_401_or_403",""
"passed","Wed Aug 05 14:01:02 UTC 2026","Wed Aug 05 14:01:02 UTC 2026","442","tests","test_auth","TestAuth","","","test_login_admin_returns_token",""
"passed","Wed Aug 05 14:01:02 UTC 2026","Wed Aug 05 14:01:02 UTC 2026","34","tests","test_auth","TestAuth","","","test_create_event_with_admin_token_returns_201",""
"passed","Wed Aug 05 14:01:02 UTC 2026","Wed Aug 05 14:01:02 UTC 2026","29","tests","test_auth","TestAuth","","","test_create_event_without_token_returns_403",""
"passed","Wed Aug 05 14:01:02 UTC 2026","Wed Aug 05 14:01:02 UTC 2026","165","tests","test_auth","TestAuth","","","test_create_event_with_user_token_returns_403",""
"passed","Wed Aug 05 14:01:03 UTC 2026","Wed Aug 05 14:01:03 UTC 2026","13","tests","test_events","TestEvents","","","test_get_missing_event_returns_404",""
"passed","Wed Aug 05 14:01:03 UTC 2026","Wed Aug 05 14:01:03 UTC 2026","490","tests","test_registration_kafka","TestRegistrationKafka","","","test_register_publishes_registration_created_event",""
"passed","Wed Aug 05 14:01:04 UTC 2026","Wed Aug 05 14:01:04 UTC 2026","227","tests","test_registrations","TestRegistrations","","","test_register_when_full_returns_409",""
"passed","Wed Aug 05 14:01:04 UTC 2026","Wed Aug 05 14:01:04 UTC 2026","119","tests","test_registrations","TestRegistrations","","","test_register_duplicate_email_returns_409",""
"passed","Wed Aug 05 14:01:03 UTC 2026","Wed Aug 05 14:01:03 UTC 2026","13","tests","test_health","","","","test_health_is_up",""
"passed","Wed Aug 05 14:01:03 UTC 2026","Wed Aug 05 14:01:04 UTC 2026","680","tests","test_registration_mail","TestRegistrationMail","","","test_register_sends_confirmation_email",""
